Sesotho (st)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
qala	0	0	0	0	0	0	0	0	0	0
babatsa	1	0	0	0	0	0	0	0	0	0
e babatsehang	1	0	0	0	0	0	1	0	0	1
kenyelletso	0	0	0	0	0	0	0	0	0	0
hlahisa maikutlo	0	0	0	0	0	0	0	0	0	0
tlhaloso	0	0	0	0	0	0	0	0	0	0
mohlalosi	1	0	0	0	0	0	0	0	0	0
khoebo	0	0	0	0	0	0	0	0	0	1
khoebo	0	0	0	0	0	0	0	0	0	0
mookameli	0	0	0	0	0	0	0	0	0	0
komiti	0	0	0	0	0	0	0	0	0	1
Komeshenara	0	0	0	0	0	0	0	0	0	0
etsa	0	0	0	0	0	0	0	0	0	0
ho etsa joalo	0	1	0	0	0	0	0	1	0	0
e ikemiselitse	1	0	0	0	0	0	0	0	0	1
komiti	0	0	0	0	0	0	0	0	0	1
thepa	0	0	0	0	0	0	0	0	0	0
commodore	1	0	0	0	0	0	0	0	0	1
tloaelehileng	0	0	0	0	0	0	0	0	0	0
hangata	0	0	0	0	0	0	0	0	0	0
sebaka se tloaelehileng	0	0	0	1	0	0	0	0	0	1
liton	0	0	0	0	0	0	0	0	0	0
tloaelehileng	1	0	0	0	0	0	0	0	0	1
moferefere	0	1	1	0	0	0	0	0	0	0
kopano	0	0	0	0	0	0	0	0	0	0
e fetisoang	0	0	0	0	0	0	0	0	0	0
buisana	1	0	0	0	0	0	0	0	0	1
puisano	0	0	0	0	0	0	0	0	0	1
ho buisana	1	0	0	0	0	0	0	0	0	0
mokete	1	0	0	0	0	0	1	0	0	1
bokomonisi	0	1	1	0	0	1	0	1	0	0
mokomonisi	0	1	0	0	0	0	0	0	0	0
sechaba	1	0	0	0	0	0	0	0	0	0
phetoho	1	0	0	0	0	0	0	0	0	0
ho fetola maikutlo	0	0	0	0	0	0	0	0	0	0
tsamaea	1	0	0	0	0	0	0	0	0	0
mokhanni	0	0	0	0	0	0	0	0	0	0
compact	0	0	0	0	0	0	0	0	0	1
compaction	0	0	0	0	0	0	0	0	0	0
compactness	0	0	0	0	0	0	0	0	0	0
motsoalle	1	0	0	0	0	0	1	0	0	1
setsoalle	0	0	0	0	0	0	0	0	0	0
khampani	0	0	0	0	0	0	0	0	0	0
e bapisoa	0	0	0	0	0	0	0	0	0	0
ho bapisa	0	0	0	0	0	0	0	0	0	0
ho bapisoa	0	0	0	0	0	0	0	0	0	0
papiso	0	0	0	0	0	0	0	0	0	0
kakaretso	0	0	0	0	0	0	0	0	0	0
k'hamphani	0	0	0	0	0	0	0	0	0	1
qenehelo	1	0	0	0	0	1	0	0	0	0
qenehelo	1	0	0	0	0	0	0	0	0	0
ho lumellana	1	0	0	0	0	0	0	0	0	0
e lumellane	1	0	0	0	0	0	0	0	0	0
qobella	0	0	0	0	0	0	0	0	0	0
e qobelloa	0	0	0	0	0	0	0	0	0	0
e qobella	1	0	0	0	0	0	0	0	0	0
compendium	0	0	0	0	0	0	0	0	0	0
lefella	1	0	0	1	0	0	1	0	1	1
mat?eliso	0	0	0	0	0	0	0	0	0	0
ho lefella	1	0	0	0	0	0	0	0	0	0
bokhoni	1	0	0	0	0	0	0	0	0	1
bokhoni	1	0	0	0	0	0	0	0	0	1
e na le bokhoni	1	0	0	0	0	0	0	0	0	1
tlh?lisano	0	1	0	1	0	0	0	0	0	0
tlh?lisano	0	0	0	0	0	0	0	0	0	0
mohatelli	0	0	0	0	0	0	0	0	0	0
ho bokella	0	0	0	0	0	0	0	0	0	0
bokella	0	0	0	0	0	0	0	0	0	0
ho se tsotelle	1	0	0	0	0	0	0	0	0	0
ho se tsotelle	0	0	0	0	0	0	0	0	0	0
ho tletleba	0	1	1	0	0	0	0	1	0	0
tletlebo	0	1	1	0	0	0	0	0	0	0
tlatsetsa	1	0	0	1	0	0	1	0	1	1
e tlatsanang	1	0	0	0	0	0	0	0	0	0
e phethiloe	0	0	0	0	0	0	0	0	0	0
ka ho feletseng	1	0	0	0	0	0	0	0	0	0
phetheho	1	0	0	0	0	0	0	0	0	0
ho tlatsa	1	0	0	1	0	0	1	0	0	0
ho phethoa	1	0	0	1	0	0	1	0	0	0
e thata	0	0	0	0	0	0	0	0	0	0
e rarahaneng	0	1	0	0	0	0	0	0	0	0
botlalo	0	0	0	0	0	0	0	0	0	0
ho rarahane	0	1	0	0	0	0	0	0	0	0
ho latela	1	0	0	0	0	0	0	0	0	1
e lumellanang	1	0	0	0	0	0	0	0	0	0
ikhatholla	0	1	1	0	0	0	0	0	0	0
e thata	0	1	0	0	0	0	0	0	0	0
bothata	0	1	0	0	0	0	0	0	0	0
bothata	1	1	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	1	0	0	1	0	1	1
latela	0	0	0	0	0	0	0	0	0	0
ho lumellana	0	0	0	0	0	0	0	0	0	0
tlhahiso	0	0	0	0	0	0	0	0	0	0
karolo	0	0	0	0	0	0	0	0	0	0
ngola	0	0	0	0	0	0	0	0	0	0
e qapiloeng	1	0	0	0	0	0	0	0	0	0
moqapi	1	0	0	0	0	0	0	0	0	0
e kopantsoeng	0	0	0	0	0	0	0	0	0	0
ho hlophisoa	0	0	0	0	0	0	0	0	0	0
manyolo	0	1	0	0	1	0	0	0	0	0
ho ikamahanya	1	0	0	0	0	0	0	0	0	0
kakaretso	0	0	0	0	0	0	0	0	0	0
utloisisa	1	0	0	0	0	0	0	0	0	0
kutloisiso	0	0	0	0	0	0	0	0	0	0
e akaretsang	1	0	0	0	0	0	0	0	0	0
qobella	0	0	1	0	0	0	0	0	0	0
e hatelitsoe	0	0	0	0	0	0	0	0	0	0
e khonehang	0	0	0	0	0	0	0	0	0	0
khatello ea maikutlo	0	0	0	0	0	0	0	0	0	0
kenyelletsa	0	0	0	0	0	0	0	0	0	0
ho sekisetsa	0	0	0	0	0	0	0	0	0	0
mookameli	0	0	0	0	0	0	0	0	0	1
ho qobelloa	0	1	1	0	0	0	0	0	0	0
e qobelloe	0	1	0	0	0	0	0	0	0	0
e qobelloang	0	0	0	0	0	0	0	0	0	0
palo	0	0	0	0	0	0	0	0	0	0
iketsetse	0	0	0	0	0	0	0	0	0	0
khomphuta	0	0	0	0	0	0	0	0	0	0
motsoalle	1	0	0	0	0	0	0	0	0	1
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
concatenation	0	0	0	0	0	0	0	0	0	0
concave	0	0	0	0	0	0	0	0	0	0
pata	0	1	0	0	0	0	0	1	0	0
e patehileng	0	1	0	1	0	1	0	0	1	0
ho ipata	0	1	1	1	0	1	0	0	0	0
ikhohomosa	0	1	0	0	0	0	0	0	0	0
ho ikhohomosa	0	1	0	0	0	0	0	0	0	0
ho nahanoa	0	0	0	0	0	0	0	0	0	0
tsepamisa maikutlo	0	0	0	0	0	0	0	0	0	0
mahloriso	0	0	0	0	0	0	0	0	0	0
ho tsepamisa maikutlo	1	0	0	0	0	0	0	0	0	0
ho emoloa	0	0	0	0	0	0	0	0	0	0
ho t?oenyeha	0	0	0	0	0	0	0	0	0	0
tse amehang	0	0	0	0	0	1	0	1	0	0
konsarete	0	0	0	0	0	0	0	0	0	0
tumello	0	0	0	0	0	0	0	0	0	0
ho fana ka tumello	0	0	0	0	0	0	0	0	0	0
mohaho oa likoloi	0	0	0	0	0	0	0	0	0	0
poelano	1	0	0	0	0	0	1	0	0	1
e hlakileng	0	0	0	0	0	0	0	0	0	0
conclave	0	0	0	0	0	0	0	0	0	0
qetella	0	0	0	0	0	0	0	0	0	0
ho qetella	1	0	0	0	0	0	0	0	0	0
qeto	0	0	0	0	0	0	0	0	0	0
concoction	0	0	0	0	0	0	0	0	0	0
e khotsofatsang	0	0	0	0	0	0	0	0	0	0
ho lumellana	1	0	0	0	0	0	0	0	0	1
ho lumellana	1	0	0	0	0	0	0	0	0	1
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ho etsa joalo	0	0	0	0	0	0	0	0	0	0
konkreite	0	0	0	0	0	0	0	0	0	0
ho lumellana	0	0	0	0	0	0	0	0	0	0
motsotsoana	0	0	0	0	0	0	0	0	0	0
e lumellanang	0	0	0	0	0	0	0	0	0	0
tlh?lisano	0	1	1	0	0	0	0	1	0	0
nyatsa	0	1	1	0	0	0	0	0	0	0
ho nyatsuoa	0	1	1	1	1	1	0	1	0	0
condensation	0	0	0	0	0	0	0	0	0	0
e khutsitsoeng	0	0	0	0	0	0	0	0	0	0
ho theola	0	1	0	0	0	0	0	0	0	0
kheloha	0	1	1	0	1	0	0	1	0	0
khotsofatsa	0	0	0	0	0	0	0	0	0	0
boemo	0	0	0	0	0	0	0	0	0	0
maemo	0	0	0	0	0	0	0	0	0	0
boemo ba maemo	0	0	0	0	0	0	0	0	0	0
e hlophisitsoeng	0	0	0	0	0	0	0	0	0	0
maemo	0	0	0	0	0	0	0	0	0	0
mat?eliso	1	0	0	0	0	0	0	1	0	0
lumella	1	0	0	0	0	0	0	0	0	0
e ntle	1	0	0	0	0	0	0	0	0	0
boit?oaro	0	0	0	0	0	0	0	0	0	0
ho khanna	0	0	0	0	0	0	0	0	0	0
conductivity	1	0	0	0	0	0	0	0	0	0
mokhanni	0	0	0	0	0	0	0	0	0	0
ho khanna	0	0	0	0	0	0	0	0	0	0
khoele	0	0	0	0	0	0	0	0	0	0
li kopantsoe	1	0	0	0	0	0	0	0	0	1
lichelete	0	0	0	0	0	0	0	0	0	0
fana ka maikutlo	0	0	0	0	0	0	0	0	0	0
seboka	0	0	0	0	0	0	0	0	0	0
lumela	1	1	0	0	0	0	0	0	0	1
ho ipolela	0	1	0	1	0	1	0	1	1	0
ho ipolela	0	0	0	0	0	1	0	0	0	1
lipolelo	0	0	0	0	0	0	0	0	0	0
bolella lipelaelo	0	0	0	0	0	0	0	0	0	1
kholiseho	1	0	0	0	0	1	1	0	0	1
kholisehile	1	0	0	0	0	0	1	0	0	1
sephiri	0	0	0	0	0	0	0	0	0	1
NO TRANSLATION	0	0	0	0	0	0	0	0	0	1
tlhophiso	0	0	0	0	0	0	0	0	0	0
koala	0	1	1	0	0	1	0	1	0	0
koaletsoeng	0	1	1	0	1	1	0	1	0	0
ho koalloa chankaneng	0	1	1	0	0	1	0	1	0	0
e koala	0	0	0	0	0	0	0	0	0	0
netefatsa	0	0	0	0	0	0	0	0	0	0
netefatso	0	0	0	0	0	0	0	0	0	1
nete	0	0	0	0	0	0	0	0	0	0
e tiisitsoe	1	0	0	0	0	0	0	0	0	1
u amohele	0	1	1	0	0	0	0	1	0	0
tlatlapuoa	0	1	0	0	0	0	0	0	0	0
pherekano	0	1	1	0	0	1	0	0	0	0
lintoa	0	1	1	0	0	1	0	1	0	0
ho loant?ana	0	1	0	0	0	0	0	0	0	0
confluence	0	0	0	0	0	0	0	0	0	0
ho lumellana	1	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ho lumellana	0	0	0	0	0	0	0	0	0	1
ferekane	0	1	0	0	0	0	0	0	0	0
ba ferekane	0	1	0	0	0	0	0	0	0	0
tobana	0	0	1	0	0	0	0	0	0	0
ferekanya	0	1	0	0	0	0	0	0	0	0
pherekano	0	1	1	0	0	1	0	0	0	0
congenial	1	0	0	0	0	0	0	0	0	0
congenital	0	0	0	0	0	0	0	0	0	0
ho ferekana	0	1	0	0	0	0	0	0	0	0
conglomerate	0	0	0	0	0	0	0	0	0	1
ho kopana	0	0	0	0	0	0	0	0	0	0
ho leboha	1	0	0	0	0	0	1	0	0	0
bokana	0	0	0	0	0	0	0	0	0	0
phutheho	1	0	0	0	0	0	0	0	0	1
congress	0	0	0	0	1	0	0	0	0	1
congressional	0	0	0	0	0	0	0	0	0	0
congressman	0	0	0	0	0	0	0	0	0	1
ho kopana	1	0	0	0	0	0	0	0	0	1
mohopolo	0	0	0	0	0	0	0	0	0	0
e lumellane	0	0	0	0	0	0	0	0	0	0
ho nahana	0	0	0	1	0	0	0	0	0	0
kopano	0	0	0	0	0	0	0	0	0	0
kopanya	0	0	0	0	0	0	0	0	0	0
ho nyalana	0	0	0	0	0	0	0	0	0	0
selekane	0	0	0	0	0	0	0	0	0	0
e tsitsitseng	0	0	0	0	0	0	0	0	0	0
khotsofatsa	0	0	0	1	0	0	0	0	1	0
ho bua	0	1	0	0	0	0	0	0	0	0
hokahanya	0	0	0	0	0	0	0	0	0	0
e amanang	0	0	0	0	0	0	0	0	0	0
kgokahanyo	0	0	0	0	0	0	0	0	0	0
e ikemetseng	0	0	0	0	0	0	0	0	0	1
connoisseur	1	0	0	0	0	0	1	0	0	1
hl?la	0	0	0	0	0	0	0	0	0	0
mohl?li	0	0	0	0	0	0	0	0	0	0
ho hl?la	0	1	1	0	0	1	0	0	0	0
letsoalo	1	0	0	0	0	0	0	0	0	1
ka hloko	1	0	0	0	0	0	0	0	0	1
tsebo	1	0	0	0	0	0	0	0	0	0
ho ngolisoa ha molao	0	0	0	0	0	0	0	0	0	0
ho ikhethela	1	0	0	1	0	0	1	1	0	1
e latellanang	0	0	0	0	0	0	0	0	0	0
tumello	0	0	0	0	0	0	0	0	0	0
lumela	0	0	0	0	0	0	0	0	0	0
liphello	0	0	0	0	0	0	0	0	0	0
ka lebaka leo	0	0	0	1	0	0	0	0	0	0
ho sireletsa	1	0	0	1	0	0	0	0	0	1
conservatism	0	0	0	0	0	0	0	0	0	0
e hlokolosi	0	0	0	0	0	0	0	0	0	0
tlhokomelo	0	0	0	0	0	0	0	0	0	0
boloka	1	0	0	0	0	0	0	0	0	0
e ngata	1	0	0	0	0	0	0	0	0	0
ho nahanela	1	0	0	0	0	0	0	0	0	1
mookameli	0	0	0	0	0	0	0	0	0	0
thepa	0	0	0	0	0	0	0	0	0	0
ho tsitsisa	1	0	0	0	0	0	0	0	0	1
e tsitsitseng	0	0	0	0	0	0	0	0	0	0
mat?eliso	0	0	0	0	0	0	0	0	0	0
t?elisa	1	0	0	0	0	0	0	1	0	0
ho kopanya	0	0	0	0	0	0	0	0	0	0
ho kopanya	0	0	0	0	0	0	0	0	0	0
tse ling	1	0	0	0	0	0	0	0	0	0
mokokotlo	0	0	0	0	0	0	0	0	0	1
e hlahelletseng	0	0	0	0	0	0	0	0	0	0
bolotsana	0	0	0	0	0	1	0	0	0	0
moqapi	0	1	1	1	1	1	0	0	0	0
'momori	0	1	0	0	0	1	0	0	0	0
e tsitsitseng	0	0	0	0	0	0	0	0	0	1
khafetsa	1	0	0	0	0	0	0	0	0	1
khafetsa	1	0	0	0	0	0	0	0	0	1
kamehla	0	0	0	0	0	0	0	0	0	1
sehlopha sa linaleli	0	0	0	0	0	0	0	0	0	0
ho senya	0	1	1	0	0	1	0	0	0	0
ho patoa	0	1	0	0	1	0	0	0	0	0
e ikemetseng	0	0	0	0	0	0	0	0	0	0
likarolo	0	0	0	0	0	0	0	0	0	0
e theha	0	0	0	0	0	0	0	0	0	1
motheo	0	0	0	0	0	0	0	0	0	0
molao-motheo	1	0	0	0	0	0	0	0	0	1
melao ea motheo	0	0	0	0	0	0	0	0	0	0
qobella	0	1	0	0	0	1	0	0	0	0
e hanngoe	0	1	0	0	0	0	0	0	0	0
thibelo	0	1	1	0	0	1	0	1	0	0
ho haha	1	0	0	0	0	0	0	0	0	0
ho haha	0	0	0	0	0	0	0	0	0	0
etsa joalo	0	0	0	0	0	0	0	0	0	0
consul	0	0	0	0	0	0	0	0	0	1
buisana	0	0	0	0	0	0	0	0	0	1
puisano	0	0	0	0	0	0	0	0	0	0
ja	0	0	0	0	0	0	0	0	0	0
ho ja	0	0	0	0	0	0	0	0	0	0
ho ja	1	0	0	0	0	0	0	0	0	0
ho qeta nako	0	0	0	0	0	0	0	0	0	0
ho sebelisoa	0	0	0	0	0	0	0	0	0	0
ikopanya	1	0	0	0	0	0	0	0	0	0
t?oaetso	0	1	0	1	1	1	0	0	0	0
e t?oaetsanoang	0	1	0	0	1	1	0	0	0	0
t?enyo	0	0	0	0	0	0	0	0	0	0
silafatsa	0	1	0	0	1	0	0	0	0	0
e silafalitsoe	0	1	0	0	1	1	0	1	0	0
t?ilafalo	0	1	0	0	1	0	0	0	0	0
nahana	0	0	0	0	0	0	0	0	0	0
ho nahanisisa	1	0	0	0	0	0	0	0	0	0
ho nahanisisa	0	0	0	0	0	0	0	0	0	0
ka nako e t?oanang	0	0	0	0	0	0	0	0	0	0
mehleng ea kajeno	0	0	0	0	0	0	0	0	0	0
nyeliso	0	1	1	0	1	1	0	0	0	0
e nyonyehang	0	1	1	0	1	0	0	0	0	0
ho nyenyefatsa	0	1	1	0	0	0	0	0	0	0
ho phehisana	0	0	0	0	0	0	0	0	0	0
dikahare	1	0	0	0	0	0	1	0	0	1
ho hloka kutloano	0	0	0	0	0	0	0	0	0	0
tsekisano	0	1	1	0	1	1	0	0	0	0
tse ka hare	0	0	0	0	0	0	0	0	0	0
moelelo	0	0	0	0	0	0	0	0	0	0
ho kopana	0	0	0	0	0	0	0	0	0	0
continence	0	0	0	0	0	0	0	0	0	0
k'honthinente	0	0	0	0	0	0	0	0	0	0
continental	0	0	0	0	0	0	0	0	0	0
t?ohanyetso	0	0	0	0	0	0	0	0	0	0
ho pheta-pheta	0	0	0	1	0	0	0	0	0	0
tsoela pele	0	0	0	0	0	0	0	0	0	0
khafetsa	0	0	0	0	0	0	0	0	0	0
tsoelo-pele	0	0	0	0	0	0	0	0	0	0
tsoelo-pele	0	0	0	1	0	0	0	0	0	0
tsoela pele	1	0	0	1	0	0	0	0	0	1
a tsoela pele	0	0	0	0	0	0	0	0	0	0
ho tsoelapele	0	0	0	0	0	0	0	0	0	0
ho tsoela pele	0	0	0	0	0	0	0	0	0	0
e tsoelang pele	0	0	0	0	0	0	0	0	0	0
tsoelang pele	0	0	0	0	0	0	0	0	0	0
phetoho	1	0	0	0	0	0	0	0	0	0
ho it?ireletsa	0	1	1	0	1	1	0	0	0	0
konteraka	0	0	0	0	0	0	0	0	0	0
e entsoeng tumellano	0	1	0	0	0	0	0	0	0	0
konteraka	0	0	0	0	0	0	0	0	0	0
ho etsa tumellano	0	0	0	0	0	0	0	0	0	0
thibelo	0	0	0	0	0	0	0	0	0	0
e hanyetsa	0	1	1	0	0	0	0	0	0	0
ho hanyetsa	0	1	0	0	0	0	0	0	0	0
e hanyetsanoa	0	1	0	0	0	0	0	0	0	0
ho fapana	0	1	0	0	0	0	0	0	0	0
phapang	0	0	0	0	0	0	0	0	0	0
e fapane	0	1	0	0	0	0	0	0	0	0
e hanyetsa	0	1	0	0	0	0	0	0	0	0
tlhekefetso	0	1	0	0	0	0	0	0	0	0
kenya letsoho	1	0	0	0	0	0	0	0	0	0
mohoeletsi	1	0	0	0	0	0	0	0	0	1
e hlahisitsoe	0	0	0	0	0	0	0	0	0	0
ho laola	0	0	0	0	0	0	0	0	0	0
tsekisano	0	1	1	0	0	0	0	0	0	0
phehisano	0	1	0	0	0	0	0	0	0	0
conundrum	0	0	0	0	0	0	0	0	0	0
convalescent	0	0	0	0	0	0	0	0	0	0
convection	0	0	0	0	0	0	0	0	0	0
lumellana	0	0	0	0	0	0	0	0	0	0
bonolo	1	0	0	0	0	0	0	0	0	0
tse bonolo	0	0	0	0	0	0	0	0	0	0
e le bonolo	1	0	0	0	0	0	0	0	0	0
setereke sa baitlami	1	0	0	0	0	0	0	0	0	1
kopano	1	0	0	0	0	0	0	0	0	0
e tloaelehileng	0	0	0	0	0	0	0	0	0	0
fetola	0	0	0	0	0	0	0	0	0	0
ho fetoha	0	0	0	1	0	0	0	0	0	0
fetola	0	0	0	0	0	0	0	0	0	0
e qoqa	1	0	0	0	0	0	0	0	0	0
moqoqo	0	0	0	0	0	0	0	0	0	0
ho qoqa	1	0	0	0	0	0	0	0	0	0
buisana	0	0	0	0	0	0	0	0	0	0
ho qoqa	0	0	0	0	0	0	0	0	0	0
phetoho	0	0	0	0	0	0	0	0	0	0
fetola	1	0	0	0	0	0	0	0	0	0
e sokolohile	0	0	0	0	0	0	0	0	0	0
fetoha	0	0	0	0	0	0	0	0	0	0
khotsofalo	0	0	0	0	0	0	0	0	0	0
khotsofalo	0	0	0	0	0	0	0	0	0	0
fetisa	0	0	0	0	0	0	0	0	0	0
ho tsamaisa	0	0	0	0	0	0	0	0	0	0
ho tsamaisa	0	0	0	0	0	0	0	0	0	1
moahloli	0	1	1	0	1	1	0	1	0	0
kholiseho	0	1	0	0	0	0	0	0	0	0
kholisa	1	0	0	1	0	0	0	0	0	1
kholisehile	0	0	0	0	0	0	0	0	0	1
e kholisang	0	0	0	0	0	0	0	0	0	1
kopano	0	0	0	0	0	0	0	0	0	0
convoluted	0	0	0	0	0	0	0	0	0	0
convolution	0	0	0	0	0	0	0	0	0	0
moemeli	0	0	0	0	0	0	0	0	0	0
coo	0	0	0	0	0	0	0	0	0	0
pheha	0	0	0	0	0	0	0	0	0	0
ho pheha	0	0	0	0	0	0	0	0	0	0
ho pheha	0	0	0	0	0	0	0	0	0	0
pholile	1	0	0	0	0	0	0	0	0	0
pholile	0	0	0	0	0	0	0	0	0	0
ho pholile	0	0	0	0	0	0	0	0	0	0
pholileng	1	0	0	0	0	0	0	0	0	0
coop	0	1	1	0	1	0	0	0	0	0
sebelisana	1	0	0	0	0	0	0	0	0	0
ho sebelisana	1	0	0	0	0	0	0	0	0	1
t?ebelisano	1	0	0	0	0	0	0	0	0	1
ho sebelisana	1	0	0	0	0	0	0	0	0	1
ho hokahanya	0	0	0	0	0	0	0	0	0	0
mohoeletsi	0	0	0	0	0	1	0	0	0	1
e kopitsa	0	0	0	0	0	0	0	0	0	0
koporo	0	0	0	0	0	0	0	0	0	0
kopitsa	0	1	0	0	0	0	0	0	0	0
copycat	0	1	1	0	1	0	0	0	0	0
ho kopitsa	0	0	0	0	0	0	0	0	0	0
copyright	0	0	0	0	0	0	0	0	0	0
likorale	0	0	0	0	0	0	0	0	0	0
mohala	0	0	0	0	0	0	0	0	0	0
cordon	0	0	0	0	0	0	0	0	0	0
corduroy	0	0	0	0	0	0	0	0	0	0
mokokotlo	1	0	0	0	0	0	0	0	0	0
kork	0	0	0	0	0	0	0	0	0	0
motlakase	0	0	0	0	0	0	0	0	0	0
poone	0	0	0	0	0	0	0	0	0	0
cornea	0	0	0	0	0	0	0	0	0	0
sekhutlo	0	0	0	0	0	0	0	0	0	0
cornet	0	0	0	0	0	0	0	0	0	0
cornice	0	0	0	0	0	0	0	0	0	0
cornstarch	0	0	0	0	0	0	0	0	0	0
corollary	0	0	0	0	0	0	0	0	0	0
corona	0	0	0	0	0	0	0	0	0	0
coronation	1	0	0	0	0	0	1	0	0	1
coroner	0	1	0	0	0	0	0	0	0	0
khoebo	0	1	0	0	0	0	0	0	0	0
khoebo	0	0	0	0	0	0	0	0	0	0
corporation	1	0	0	0	0	0	0	0	0	1
tse ling	1	0	0	0	0	0	0	0	0	0
litopo	0	0	0	0	0	0	0	0	0	0
setopo	0	1	0	0	1	0	0	1	0	0
corpus	0	0	0	0	0	0	0	0	0	0
corral	0	0	0	0	0	0	0	0	0	0
ho lokisoa	0	1	0	0	0	0	0	0	0	0
ho lokisoa	1	0	0	0	0	0	0	0	0	0
ho nepahala	0	0	0	0	0	0	0	0	0	1
ho tsamaisana	0	0	0	0	0	0	0	0	0	0
ho tsamaisana	0	0	0	0	0	0	0	0	0	0
lumellana	0	0	0	0	0	0	0	0	0	0
mangolo	1	0	0	1	0	0	0	0	0	0
mongoli	0	0	0	0	0	0	0	0	0	0
maralla	0	0	0	0	0	0	0	0	0	0
ho t?ehetsa	1	0	0	0	0	0	0	0	0	1
ho sebelisana hantle	0	0	0	0	0	0	0	0	0	1
ho bola	0	1	0	0	0	0	0	0	0	0
tse nyenyane	0	1	0	0	0	1	0	0	0	0
e senyehile	0	1	0	0	0	0	0	0	0	0
ho senya	0	1	1	0	1	1	0	1	0	0
bobolu	0	1	0	0	1	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	1	0	0
corset	0	0	0	0	0	0	0	0	0	0
cortex	0	0	0	0	0	0	0	0	0	0
cortical	0	0	0	0	0	0	0	0	0	0
corvette	0	0	0	0	0	0	0	0	0	0
boithabiso	0	0	0	0	0	0	0	0	0	0
litlolo	0	0	0	0	0	0	0	0	0	0
bohloeki	0	0	0	0	0	0	0	0	0	0
cosmology	0	0	0	0	0	0	0	0	0	0
lichaba tse ngata	1	0	0	0	0	0	0	0	0	1
bokahohle	0	0	0	0	0	0	0	0	0	0
lit?enyehelo	0	0	0	0	0	0	0	0	0	0
e theko e boima	0	0	0	0	0	0	0	0	0	0
liaparo	0	0	0	0	0	0	0	0	0	0
e monate	1	0	0	0	0	0	0	0	0	0
koto	0	0	0	0	0	0	0	0	0	0
palo	0	0	0	0	0	0	0	0	0	0
ntloana	0	0	0	0	0	0	0	0	0	0
k'hothone	0	0	0	0	0	0	0	0	0	0
bethe	0	0	0	0	0	0	0	1	0	0
cougar	0	0	0	0	0	0	0	0	0	0
ho khohlela	0	1	0	0	1	0	0	0	0	0
lekhotla	1	0	0	1	0	0	0	0	0	1
keletso	1	0	0	0	0	0	0	0	0	1
moeletsi	0	1	1	0	0	1	0	0	0	1
moeletsi	1	0	0	0	0	0	0	0	0	1
bala	1	0	0	0	0	0	0	0	0	1
Countdown	0	0	0	1	0	0	0	0	0	0
sefahleho	0	0	0	0	0	0	0	0	0	0
counter	0	0	0	0	0	0	0	0	0	0
hanyetsa	0	0	0	0	0	0	0	0	0	0
ho bapala	0	0	0	0	0	0	0	0	0	0
khahlanong le litlaleho	0	0	0	0	0	0	0	0	0	0
motsoalle	0	0	0	0	0	0	0	0	0	0
ho ba le bomalimabe	1	0	0	0	0	0	0	0	0	0
tse ngata	0	0	0	0	0	0	0	0	0	0
naha	0	0	0	0	0	0	0	0	0	0
nahaman	0	0	0	0	0	0	0	0	0	1
ho bala	0	0	0	0	0	0	0	0	0	0
setereke	0	0	0	0	0	0	0	0	0	1
ho loana	0	0	1	0	0	0	0	0	1	0
banyalani	0	0	0	0	0	0	0	0	0	0
hammoho	0	0	0	0	0	0	0	0	0	0
setlankane	0	0	0	0	0	0	0	0	0	0
sebete	1	0	0	0	0	0	0	0	0	0
sebete	1	0	0	0	0	1	0	0	0	0
courier	0	0	0	0	0	0	0	0	0	1
lithuto	0	0	0	0	0	0	0	0	0	0
ho etsa lipatlisiso	0	1	0	0	0	0	0	0	0	0
lekhotla	0	0	1	1	0	1	0	0	0	0
e le ea mosa	1	0	0	0	0	0	0	0	0	0
ka tlhompho	1	0	0	0	0	0	0	0	0	0
lekhotla	0	0	0	0	0	0	0	0	0	0
makhotla	0	0	0	0	0	0	0	0	0	0
ho ratana	1	0	0	1	0	0	1	0	0	1
lebaleng	0	0	0	0	0	0	0	0	0	0
khaba	1	0	0	1	1	1	1	0	0	0
selekane	1	0	0	0	0	0	0	0	0	1
sekoahelo	0	0	0	0	0	0	0	0	0	1
koahetsoeng	0	0	0	0	0	0	0	0	0	0
sekoahelo	0	0	0	0	0	0	0	0	0	0
sekoahelo	0	0	0	0	0	0	0	0	0	0
cheseha	0	1	0	0	0	0	0	0	0	0
khomo	0	0	0	0	0	0	0	0	0	0
coward	0	1	0	0	1	1	0	1	0	0
bokooa	0	1	0	0	0	1	0	0	0	0
ka boikhohomoso	0	1	0	0	0	1	0	0	0	0
cowboy	0	0	0	0	0	0	0	0	0	0
khomo	0	0	0	0	0	0	0	0	0	0
khomo	0	0	0	0	0	0	0	0	0	0
mosebetsi-'moho	0	0	0	0	0	0	0	0	0	0
e ntle	0	0	0	0	0	1	0	0	0	0
coyote	0	0	0	0	0	1	0	0	0	0
lekhala	0	0	0	0	0	0	0	0	0	0
leqheka	0	1	1	0	0	0	0	0	0	0
tsuba	0	1	0	0	0	0	0	0	0	0
